TRANSACTION_DATE,TRANSACTION_VOLUME
2016-11-24 00:00:00.000,36772
2016-11-25 00:00:00.000,55681
2016-11-26 00:00:00.000,40696
2016-11-27 00:00:00.000,44383
2016-11-28 00:00:00.000,48138
2016-11-29 00:00:00.000,46232
2016-11-30 00:00:00.000,38429
2016-12-01 00:00:00.000,36928
2016-12-02 00:00:00.000,41419
2016-12-03 00:00:00.000,40569
2016-12-04 00:00:00.000,38843
2016-12-05 00:00:00.000,40796
2016-12-06 00:00:00.000,47297
2016-12-07 00:00:00.000,41563
2016-12-08 00:00:00.000,38830
2016-12-09 00:00:00.000,40605
2016-12-10 00:00:00.000,39735
2016-12-11 00:00:00.000,38326
2016-12-12 00:00:00.000,38455
2016-12-13 00:00:00.000,44471
2016-12-14 00:00:00.000,46414
2016-12-15 00:00:00.000,45209
2016-12-16 00:00:00.000,43072
2016-12-17 00:00:00.000,38530
2016-12-18 00:00:00.000,35711
2016-12-19 00:00:00.000,44996
2016-12-20 00:00:00.000,43742
2016-12-21 00:00:00.000,49739
2016-12-22 00:00:00.000,54195
2016-12-23 00:00:00.000,43420
2016-12-24 00:00:00.000,36820
2016-12-25 00:00:00.000,35648
2016-12-26 00:00:00.000,34233
2016-12-27 00:00:00.000,41324
2016-12-28 00:00:00.000,42312
2016-12-29 00:00:00.000,45391
2016-12-30 00:00:00.000,43379
2016-12-31 00:00:00.000,40792
2017-01-01 00:00:00.000,38609
2017-01-02 00:00:00.000,39485
2017-01-03 00:00:00.000,45298
2017-01-04 00:00:00.000,50588
2017-01-05 00:00:00.000,49530
2017-01-06 00:00:00.000,43696
2017-01-07 00:00:00.000,43458
2017-01-08 00:00:00.000,42449
2017-01-09 00:00:00.000,45910
2017-01-10 00:00:00.000,47852
2017-01-11 00:00:00.000,44118
2017-01-12 00:00:00.000,49214
2017-01-13 00:00:00.000,49443
2017-01-14 00:00:00.000,40745
2017-01-15 00:00:00.000,40473
2017-01-16 00:00:00.000,43997
2017-01-17 00:00:00.000,45471
2017-01-18 00:00:00.000,43805
2017-01-19 00:00:00.000,43395
2017-01-20 00:00:00.000,45420
2017-01-21 00:00:00.000,42043
2017-01-22 00:00:00.000,46051
2017-01-23 00:00:00.000,44802
2017-01-24 00:00:00.000,49036
2017-01-25 00:00:00.000,45284
2017-01-26 00:00:00.000,46746
2017-01-27 00:00:00.000,46619
2017-01-28 00:00:00.000,45112
2017-01-29 00:00:00.000,42421
2017-01-30 00:00:00.000,45246
2017-01-31 00:00:00.000,43542
2017-02-01 00:00:00.000,44405
2017-02-02 00:00:00.000,43542
2017-02-03 00:00:00.000,42286
2017-02-04 00:00:00.000,45022
2017-02-05 00:00:00.000,46190
2017-02-06 00:00:00.000,46895
2017-02-07 00:00:00.000,51421
2017-02-08 00:00:00.000,50957
2017-02-09 00:00:00.000,47776
2017-02-10 00:00:00.000,52084
2017-02-11 00:00:00.000,46458
2017-02-12 00:00:00.000,45197
2017-02-13 00:00:00.000,55768
2017-02-14 00:00:00.000,58124
2017-02-15 00:00:00.000,54905
2017-02-16 00:00:00.000,49574
2017-02-17 00:00:00.000,49342
2017-02-18 00:00:00.000,49321
2017-02-19 00:00:00.000,48158
2017-02-20 00:00:00.000,50036
2017-02-21 00:00:00.000,58317
2017-02-22 00:00:00.000,50287
2017-02-23 00:00:00.000,47499
2017-02-24 00:00:00.000,54027
2017-02-25 00:00:00.000,53165
2017-02-26 00:00:00.000,51660
2017-02-27 00:00:00.000,52513
2017-02-28 00:00:00.000,60035
2017-03-01 00:00:00.000,59627
2017-03-02 00:00:00.000,70566
2017-03-03 00:00:00.000,64195
2017-03-04 00:00:00.000,58626
2017-03-05 00:00:00.000,56844
2017-03-06 00:00:00.000,56907
2017-03-07 00:00:00.000,62456
2017-03-08 00:00:00.000,55174
2017-03-09 00:00:00.000,64127
2017-03-10 00:00:00.000,64997
2017-03-11 00:00:00.000,64673
2017-03-12 00:00:00.000,66532
2017-03-13 00:00:00.000,81391
2017-03-14 00:00:00.000,76931
2017-03-15 00:00:00.000,81023
2017-03-16 00:00:00.000,109725
2017-03-17 00:00:00.000,106380
2017-03-18 00:00:00.000,89811
2017-03-19 00:00:00.000,84484
2017-03-20 00:00:00.000,80070
2017-03-21 00:00:00.000,84117
2017-03-22 00:00:00.000,78652
2017-03-23 00:00:00.000,82220
2017-03-24 00:00:00.000,87623
2017-03-25 00:00:00.000,84216
2017-03-26 00:00:00.000,79333
2017-03-27 00:00:00.000,94330
2017-03-28 00:00:00.000,84038
2017-03-29 00:00:00.000,92746
2017-03-30 00:00:00.000,95909
2017-03-31 00:00:00.000,102835
2017-04-01 00:00:00.000,80324
2017-04-02 00:00:00.000,88431
2017-04-03 00:00:00.000,99867
2017-04-04 00:00:00.000,85983
2017-04-05 00:00:00.000,87153
2017-04-06 00:00:00.000,94747
2017-04-07 00:00:00.000,92536
2017-04-08 00:00:00.000,71907
2017-04-09 00:00:00.000,74141
2017-04-10 00:00:00.000,75162
2017-04-11 00:00:00.000,75647
2017-04-12 00:00:00.000,80044
2017-04-13 00:00:00.000,83854
2017-04-14 00:00:00.000,80900
2017-04-15 00:00:00.000,74375
2017-04-16 00:00:00.000,70436
2017-04-17 00:00:00.000,72313
2017-04-18 00:00:00.000,82985
2017-04-19 00:00:00.000,84633
2017-04-20 00:00:00.000,85190
2017-04-21 00:00:00.000,80357
2017-04-22 00:00:00.000,73081
2017-04-23 00:00:00.000,76846
2017-04-24 00:00:00.000,79381
2017-04-25 00:00:00.000,92634
2017-04-26 00:00:00.000,89318
2017-04-27 00:00:00.000,103999
2017-04-28 00:00:00.000,104790
2017-04-29 00:00:00.000,90993
2017-04-30 00:00:00.000,94556
2017-05-01 00:00:00.000,111417
2017-05-02 00:00:00.000,108896
2017-05-03 00:00:00.000,97020
2017-05-04 00:00:00.000,114258
2017-05-05 00:00:00.000,108101
2017-05-06 00:00:00.000,94736
2017-05-07 00:00:00.000,105969
2017-05-08 00:00:00.000,116573
2017-05-09 00:00:00.000,112175
2017-05-10 00:00:00.000,108881
2017-05-11 00:00:00.000,116184
2017-05-12 00:00:00.000,106360
2017-05-13 00:00:00.000,100373
2017-05-14 00:00:00.000,100554
2017-05-15 00:00:00.000,121812
2017-05-16 00:00:00.000,115329
2017-05-17 00:00:00.000,136862
2017-05-18 00:00:00.000,135379
2017-05-19 00:00:00.000,159613
2017-05-20 00:00:00.000,129645
2017-05-21 00:00:00.000,148310
2017-05-22 00:00:00.000,175054
2017-05-23 00:00:00.000,185231
2017-05-24 00:00:00.000,185286
2017-05-25 00:00:00.000,181537
2017-05-26 00:00:00.000,167598
2017-05-27 00:00:00.000,148124
2017-05-28 00:00:00.000,153808
2017-05-29 00:00:00.000,157223
2017-05-30 00:00:00.000,189967
2017-05-31 00:00:00.000,201783
2017-06-01 00:00:00.000,196287
2017-06-02 00:00:00.000,192359
2017-06-03 00:00:00.000,173467
2017-06-04 00:00:00.000,176499
2017-06-05 00:00:00.000,187883
2017-06-06 00:00:00.000,196588
2017-06-07 00:00:00.000,203622
