TRANSACTION_DATE,TOTAL_TRANSACTION_VALUE
2016-01-25 00:00:00.000,2139382.51947006
2016-01-26 00:00:00.000,1445111.57180414
2016-01-27 00:00:00.000,1177769.5759312
2016-01-28 00:00:00.000,921917.806347817
2016-01-29 00:00:00.000,863480.324027793
2016-01-30 00:00:00.000,989806.247163256
2016-01-31 00:00:00.000,1095129.17356854
2016-02-01 00:00:00.000,599918.875844868
2016-02-02 00:00:00.000,619265.284535179
2016-02-03 00:00:00.000,620366.828983076
2016-02-04 00:00:00.000,329929.934715513
2016-02-05 00:00:00.000,576483.883219161
2016-02-06 00:00:00.000,234011.787559432
2016-02-07 00:00:00.000,895491.165989449
2016-02-08 00:00:00.000,1473217.95517742
2016-02-09 00:00:00.000,1566585.02585502
2016-02-10 00:00:00.000,1936727.20745362
2016-02-11 00:00:00.000,1796883.53377045
2016-02-12 00:00:00.000,2102345.48983024
2016-02-13 00:00:00.000,1291917.90481579
2016-02-14 00:00:00.000,919515.554737719
2016-02-15 00:00:00.000,732564.138840854
2016-02-16 00:00:00.000,1299443.63373374
2016-02-17 00:00:00.000,753903.653071369
2016-02-18 00:00:00.000,1126592.88377248
2016-02-19 00:00:00.000,493953.6708928
2016-02-20 00:00:00.000,1191850.82016518
2016-02-21 00:00:00.000,477024.075266539
2016-02-22 00:00:00.000,804402.036597139
2016-02-23 00:00:00.000,1550271.22273024
2016-02-24 00:00:00.000,2094707.21063173
2016-02-25 00:00:00.000,922738.80380258
2016-02-26 00:00:00.000,4011413.2978515
2016-02-27 00:00:00.000,2172697.75259135
2016-02-28 00:00:00.000,779337.20689333
2016-02-29 00:00:00.000,711509.027309589
2016-03-01 00:00:00.000,1303681.89689413
2016-03-02 00:00:00.000,3558448.02711397
2016-03-03 00:00:00.000,2098523.74422511
2016-03-04 00:00:00.000,1511178.89097256
2016-03-05 00:00:00.000,2863736.15834055
2016-03-06 00:00:00.000,1613121.15084471
2016-03-07 00:00:00.000,1478973.61378029
2016-03-08 00:00:00.000,2147032.06515773
2016-03-09 00:00:00.000,1124790.09819576
2016-03-10 00:00:00.000,857303.9261851
2016-03-11 00:00:00.000,939795.296922901
2016-03-12 00:00:00.000,1522137.69706151
2016-03-13 00:00:00.000,1982222.78389868
2016-03-14 00:00:00.000,1632659.07649065
2016-03-15 00:00:00.000,1289685.15417005
2016-03-16 00:00:00.000,1106208.25983322
2016-03-17 00:00:00.000,1743810.10381993
2016-03-18 00:00:00.000,2355440.72233582
2016-03-19 00:00:00.000,791521.633384523
2016-03-20 00:00:00.000,555659.290967952
2016-03-21 00:00:00.000,890482.75618292
2016-03-22 00:00:00.000,684565.118399032
2016-03-23 00:00:00.000,573248.421243602
2016-03-24 00:00:00.000,954146.795132877
2016-03-25 00:00:00.000,554239.373962704
2016-03-26 00:00:00.000,333250.948544008
2016-03-27 00:00:00.000,1173322.19838972
2016-03-28 00:00:00.000,793228.061495678
2016-03-29 00:00:00.000,1289780.41739181
2016-03-30 00:00:00.000,1347516.21291459
2016-03-31 00:00:00.000,895858.733276516
2016-04-01 00:00:00.000,382112.249867813
2016-04-02 00:00:00.000,375127.453739466
2016-04-03 00:00:00.000,218394.68827072
2016-04-04 00:00:00.000,439243.149483239
2016-04-05 00:00:00.000,689118.435220225
2016-04-06 00:00:00.000,588846.278492913
2016-04-07 00:00:00.000,724040.920238819
2016-04-08 00:00:00.000,549941.815865059
2016-04-09 00:00:00.000,1306913.53564441
2016-04-10 00:00:00.000,1178278.0978236
2016-04-11 00:00:00.000,623473.355288461
2016-04-12 00:00:00.000,1090432.4885183
2016-04-13 00:00:00.000,1137998.57658515
2016-04-14 00:00:00.000,943902.22131624
2016-04-15 00:00:00.000,591119.841806136
2016-04-16 00:00:00.000,433476.052597516
