TRANSACTION_DATE,TRANSACTION_VOLUME,TRANSACTION_VALUE,ACTIVE_WALLETS,TOTAL_GAS_FEES
2016-02-01 00:00:00.000,14187,599918.875844868,2062,32.511470216
2016-02-02 00:00:00.000,14279,619265.284535179,2010,29.447702388
2016-02-03 00:00:00.000,14269,620366.828983076,2027,27.717025477
2016-02-04 00:00:00.000,14371,329929.934715513,1991,32.717501857
2016-02-05 00:00:00.000,15246,576483.883219161,2046,38.868760043
2016-02-06 00:00:00.000,31399,234011.787559432,1948,240.641136139
2016-02-07 00:00:00.000,14260,895491.165989449,2141,52.214872307
2016-02-08 00:00:00.000,14704,1473217.95517742,2318,36.687237632
2016-02-09 00:00:00.000,15515,1566585.02585502,2478,50.161375484
2016-02-10 00:00:00.000,17128,1936727.20745362,3264,58.81990205
2016-02-11 00:00:00.000,21425,1796883.53377045,3388,45.013763266
2016-02-12 00:00:00.000,18089,2102345.48983024,3300,32.965388715
2016-02-13 00:00:00.000,19322,1291917.90481579,3071,36.11276426
2016-02-14 00:00:00.000,16617,919515.554737719,2652,27.765518085
2016-02-15 00:00:00.000,17148,732564.138840854,2765,30.358242959
2016-02-16 00:00:00.000,17522,1299443.63373374,2747,32.771985881
2016-02-17 00:00:00.000,19943,753903.653071369,2696,40.601354218
2016-02-18 00:00:00.000,16939,1126592.88377248,2725,29.176082555
2016-02-19 00:00:00.000,18386,493953.6708928,2650,37.003160631
2016-02-20 00:00:00.000,16680,1191850.82016518,2522,26.685631759
2016-02-21 00:00:00.000,17102,477024.075266539,3464,28.062347272
2016-02-22 00:00:00.000,18160,804402.036597139,3032,31.107875969
2016-02-23 00:00:00.000,18078,1550271.22273024,2985,33.223924509
2016-02-24 00:00:00.000,18840,2094707.21063173,2883,30.422745961
2016-02-25 00:00:00.000,19486,922738.80380258,3282,31.545029546
2016-02-26 00:00:00.000,21036,4011413.2978515,2990,49.702591876
2016-02-27 00:00:00.000,18957,2172697.75259135,3068,28.176964045
2016-02-28 00:00:00.000,19037,779337.20689333,3406,29.1714472
2016-02-29 00:00:00.000,20331,711509.027309589,4013,32.535161362
2016-03-01 00:00:00.000,21757,1303681.89689413,4321,33.516178881
2016-03-02 00:00:00.000,23547,3558448.02711397,4494,38.579210255
2016-03-03 00:00:00.000,24813,2098523.74422511,4816,35.18256109
2016-03-04 00:00:00.000,24274,1511178.89097257,4845,33.915519151
2016-03-05 00:00:00.000,27101,2863736.15834055,5757,33.737142788
2016-03-06 00:00:00.000,27646,1613121.15084471,5360,37.189172401
2016-03-07 00:00:00.000,23256,1478973.61378029,4490,29.834011476
2016-03-08 00:00:00.000,24094,2147032.06515773,5371,33.331621146
2016-03-09 00:00:00.000,24549,1124790.09819576,4935,26.049750299
2016-03-10 00:00:00.000,24781,857303.9261851,5445,20.289332413
2016-03-11 00:00:00.000,23104,939795.296922899,5180,19.210727116
2016-03-12 00:00:00.000,27784,1522137.69706151,5113,23.760619854
2016-03-13 00:00:00.000,28101,1982222.78389868,5030,25.550527413
2016-03-14 00:00:00.000,28516,1632659.07649065,5043,27.744561533
2016-03-15 00:00:00.000,29227,1289685.15417005,4855,23.826464264
2016-03-16 00:00:00.000,27555,1106208.25983322,4544,23.77098199
2016-03-17 00:00:00.000,33507,1743810.10381993,5009,31.575366001
2016-03-18 00:00:00.000,31797,2355440.72233582,5355,27.372513044
2016-03-19 00:00:00.000,34762,791521.633384523,4438,44.077883762
2016-03-20 00:00:00.000,32429,555659.290967952,4569,35.51281225
2016-03-21 00:00:00.000,32494,890482.75618292,5088,32.350980374
2016-03-22 00:00:00.000,32858,684565.118399032,4495,26.061137089
2016-03-23 00:00:00.000,31764,573248.421243602,4591,32.600470272
2016-03-24 00:00:00.000,36919,954146.795132877,4441,41.353560494
2016-03-25 00:00:00.000,36737,554239.373962704,4266,40.310281945
2016-03-26 00:00:00.000,36606,333250.948544008,4090,34.935712351
2016-03-27 00:00:00.000,29950,1173322.19838972,4676,19.066062128
2016-03-28 00:00:00.000,33572,793228.061495678,4768,25.623884783
2016-03-29 00:00:00.000,33835,1289780.41739181,5999,23.689880233
2016-03-30 00:00:00.000,36498,1347516.21291459,6079,32.230135986
2016-03-31 00:00:00.000,32224,895858.733276516,4853,24.946436852
2016-04-01 00:00:00.000,33286,382112.249867813,4603,23.977201994
2016-04-02 00:00:00.000,29332,375127.453739466,4351,17.991968939
2016-04-03 00:00:00.000,29577,218394.68827072,4312,17.907545065
2016-04-04 00:00:00.000,34527,439243.149483239,4928,24.482222319
2016-04-05 00:00:00.000,39098,689118.435220225,4976,28.525976795
2016-04-06 00:00:00.000,31764,588846.278492913,4937,21.229062912
2016-04-07 00:00:00.000,31819,724040.920238819,4806,21.314436712
2016-04-08 00:00:00.000,33992,549941.815865059,4650,25.072085703
2016-04-09 00:00:00.000,31903,1306913.53564441,4942,19.759437708
2016-04-10 00:00:00.000,32226,1178278.0978236,5392,19.420182948
2016-04-11 00:00:00.000,30319,623473.355288461,4778,18.645966209
