TRANSACTION_DATE,SMART_CONTRACT_INTERACTIONS
2016-08-22 00:00:00.000,44005
2016-08-23 00:00:00.000,47930
2016-08-24 00:00:00.000,46658
2016-08-25 00:00:00.000,49609
2016-08-26 00:00:00.000,47029
2016-08-27 00:00:00.000,47728
2016-08-28 00:00:00.000,42398
2016-08-29 00:00:00.000,45228
2016-08-30 00:00:00.000,46633
2016-08-31 00:00:00.000,45508
2016-09-01 00:00:00.000,47148
2016-09-02 00:00:00.000,54623
2016-09-03 00:00:00.000,44611
2016-09-04 00:00:00.000,47928
2016-09-05 00:00:00.000,42297
2016-09-06 00:00:00.000,48655
2016-09-07 00:00:00.000,48324
2016-09-08 00:00:00.000,55554
2016-09-09 00:00:00.000,52735
2016-09-10 00:00:00.000,42457
2016-09-11 00:00:00.000,43061
2016-09-12 00:00:00.000,44103
2016-09-13 00:00:00.000,42325
2016-09-14 00:00:00.000,53533
2016-09-15 00:00:00.000,52223
2016-09-16 00:00:00.000,56534
2016-09-17 00:00:00.000,46227
2016-09-18 00:00:00.000,37137
2016-09-19 00:00:00.000,40415
2016-09-20 00:00:00.000,53871
2016-09-21 00:00:00.000,44193
2016-09-22 00:00:00.000,52212
2016-09-23 00:00:00.000,34281
2016-09-24 00:00:00.000,38463
2016-09-25 00:00:00.000,37675
2016-09-26 00:00:00.000,42393
2016-09-27 00:00:00.000,45110
2016-09-28 00:00:00.000,42519
2016-09-29 00:00:00.000,39897
2016-09-30 00:00:00.000,35502
2016-10-01 00:00:00.000,45564
2016-10-02 00:00:00.000,43485
2016-10-03 00:00:00.000,45965
2016-10-04 00:00:00.000,33430
2016-10-05 00:00:00.000,39096
2016-10-06 00:00:00.000,35475
2016-10-07 00:00:00.000,42322
2016-10-08 00:00:00.000,35637
2016-10-09 00:00:00.000,41880
2016-10-10 00:00:00.000,42884
2016-10-11 00:00:00.000,40401
2016-10-12 00:00:00.000,29875
2016-10-13 00:00:00.000,32200
2016-10-14 00:00:00.000,41592
2016-10-15 00:00:00.000,24618
2016-10-16 00:00:00.000,34683
2016-10-17 00:00:00.000,37689
2016-10-18 00:00:00.000,50451
2016-10-19 00:00:00.000,29840
2016-10-20 00:00:00.000,40679
2016-10-21 00:00:00.000,57606
2016-10-22 00:00:00.000,37427
2016-10-23 00:00:00.000,35197
2016-10-24 00:00:00.000,52286
2016-10-25 00:00:00.000,46349
2016-10-26 00:00:00.000,44709
2016-10-27 00:00:00.000,43832
2016-10-28 00:00:00.000,41283
2016-10-29 00:00:00.000,39839
2016-10-30 00:00:00.000,39138
2016-10-31 00:00:00.000,44774
2016-11-01 00:00:00.000,48175
2016-11-02 00:00:00.000,43349
2016-11-03 00:00:00.000,42190
2016-11-04 00:00:00.000,32454
2016-11-05 00:00:00.000,37547
2016-11-06 00:00:00.000,34242
2016-11-07 00:00:00.000,41840
2016-11-08 00:00:00.000,41358
2016-11-09 00:00:00.000,40106
2016-11-10 00:00:00.000,39197
2016-11-11 00:00:00.000,39968
2016-11-12 00:00:00.000,40273
2016-11-13 00:00:00.000,42995
2016-11-14 00:00:00.000,43102
2016-11-15 00:00:00.000,44588
2016-11-16 00:00:00.000,40900
2016-11-17 00:00:00.000,40109
2016-11-18 00:00:00.000,43023
2016-11-19 00:00:00.000,38638
2016-11-20 00:00:00.000,41261
2016-11-21 00:00:00.000,41544
2016-11-22 00:00:00.000,52792
2016-11-23 00:00:00.000,63716
2016-11-24 00:00:00.000,36650
